130	4375
7	3484
28	3414
11	3052
132	2929
136	2925
160	2835
27	2773
148	2471
202	2185
249	2040
252	2028
149	1950
63	1831
46	1752
10	1493
3	1493
203	1483
781	1464
232	1452
109	1444
115	1444
163	1433
459	1384
463	1384
323	1353
78	1285
185	1283
1	1257
15	1257
8	1257
301	1239
173	1132
174	1132
187	1132
767	1120
769	1120
458	1107
462	1107
465	1107
13	1084
9	1084
464	1076
467	1076
304	1057
178	1053
236	1053
188	1031
126	961
133	961
77	930
81	930
175	927
177	927
191	927
26	894
31	894
107	883
113	883
118	883
168	879
284	875
271	822
932	817
933	815
12	806
16	806
22	776
29	776
233	769
235	769
124	733
131	733
138	733
135	710
139	710
200	699
204	699
366	695
14	676
18	676
32	676
36	676
791	649
194	645
220	645
224	645
240	645
259	634
1011	626
1019	626
207	610
208	610
351	596
353	596
365	596
367	596
452	559
152	544
95	537
